,carat,depth,table,x,y,z,predict
0,0.51,61.7,59.0,5.12,5.09,3.15,1187.4594
1,0.33,60.6,60.0,4.44,4.41,2.68,606.89844
2,0.72,61.5,56.0,5.77,5.8,3.56,2553.0356
3,0.72,60.9,56.0,5.77,5.83,3.53,2600.602
4,0.52,61.1,55.0,5.15,5.19,3.16,1482.5814
5,0.32,61.0,56.0,4.4,4.42,2.69,631.67316
6,0.36,62.5,58.0,4.52,4.57,2.84,666.3021
7,0.33,61.7,55.0,4.46,4.49,2.76,662.25104
8,0.3,61.8,54.0,4.34,4.37,2.69,624.1773
9,1.67,61.6,59.0,7.64,7.61,4.7,10865.793
10,0.35,62.5,56.0,4.51,4.55,2.83,675.36273
11,0.31,61.3,57.0,4.36,4.38,2.68,608.0815
12,0.85,60.8,57.0,6.13,6.18,3.74,3771.502
13,1.5,61.1,58.0,7.46,7.37,4.53,9759.166
14,0.29,61.1,58.0,4.26,4.28,2.61,563.08746
15,0.4,62.8,60.0,4.66,4.7,2.94,703.06384
16,0.7,62.7,57.0,5.69,5.64,3.55,2194.0632
17,1.72,59.5,60.0,7.79,7.75,4.62,11663.055
18,0.51,61.6,55.0,5.16,5.19,3.19,1472.8324
19,0.7,62.7,55.0,5.68,5.74,3.58,2421.7908
20,0.57,63.3,56.0,5.27,5.29,3.34,1564.8519
21,0.4,63.5,58.0,4.69,4.7,2.98,723.1422
22,0.9,62.3,56.0,6.21,6.14,3.85,3956.7505
23,0.58,62.4,57.0,5.31,5.33,3.32,1594.8494
24,0.3,60.4,60.0,4.34,4.3,2.61,566.7593
25,0.36,61.5,59.0,4.55,4.52,2.79,656.4672
26,0.71,61.8,55.0,5.72,5.74,3.54,2503.205
27,0.38,60.5,58.0,4.72,4.67,2.84,722.8647
28,0.5,61.4,57.0,5.1,5.16,3.15,1314.5953
29,1.24,63.0,56.0,6.87,6.82,4.31,6739.92
30,0.73,62.3,58.0,5.75,5.78,3.59,2338.8958
31,0.31,63.6,57.0,4.33,4.32,2.75,589.20514
32,1.03,62.2,57.0,6.42,6.47,4.01,4948.2114
33,1.01,64.4,58.0,6.25,6.18,4.0,3827.13
34,0.43,62.6,56.0,4.84,4.88,3.04,938.2627
35,0.51,60.6,56.0,5.18,5.22,3.15,1475.9133
36,1.6,61.9,55.0,7.51,7.54,4.66,11031.213
37,0.54,60.3,58.0,5.32,5.26,3.19,1523.9229
38,1.47,59.1,56.0,7.51,7.46,4.42,10640.494
39,0.93,61.8,59.0,6.23,6.27,3.86,3861.4553
40,0.51,59.3,58.0,5.23,5.2,3.09,1425.8263
41,0.34,62.3,57.0,4.51,4.48,2.8,654.1042
42,0.41,60.8,58.0,4.78,4.83,2.92,797.8758
43,1.01,64.1,59.0,6.35,6.31,4.06,4095.3164
44,1.09,61.0,64.0,6.63,6.58,4.03,4666.977
45,2.01,63.0,55.0,8.03,7.97,5.04,13447.832
46,0.31,62.4,57.0,4.32,4.3,2.69,586.1888
47,0.6,62.6,56.0,5.37,5.41,3.37,1740.9877
48,2.03,62.8,60.0,7.99,8.05,5.04,13120.069
49,0.4,60.8,58.0,4.75,4.83,2.91,771.08624
50,1.39,60.6,55.0,7.21,7.27,4.39,9387.528
51,0.5,62.7,56.0,5.07,5.1,3.19,1278.0013
52,1.03,60.0,62.0,6.51,6.55,3.92,4677.4365
53,0.72,60.7,56.0,5.79,5.82,3.53,2623.8022
54,0.93,62.0,56.0,6.22,6.26,3.87,4249.009
55,1.03,61.7,56.0,6.5,6.47,4.0,5258.76
56,0.32,59.7,62.0,4.38,4.43,2.63,583.7492
57,1.23,61.6,58.0,6.91,6.85,4.24,6654.507
58,1.29,60.8,55.0,7.03,7.12,4.3,8369.233
59,1.62,59.6,59.0,7.59,7.67,4.55,10993.93
60,1.02,62.7,58.0,6.45,6.4,4.03,4680.5137
61,0.7,61.4,57.0,5.69,5.67,3.49,2263.959
62,0.75,62.0,55.1,5.83,5.85,3.62,2764.0457
63,1.25,62.2,57.0,6.91,6.85,4.28,6811.701
64,1.04,58.9,64.0,6.6,6.64,3.9,4783.494
65,2.51,62.0,57.0,8.72,8.67,5.39,15976.0
66,0.3,62.3,59.0,4.29,4.25,2.66,554.8803
67,1.06,59.4,57.0,6.67,6.63,3.95,5886.3613
68,0.52,61.9,55.0,5.16,5.18,3.2,1465.6907
69,1.0,64.2,60.0,6.22,6.28,4.01,3654.3896
70,0.31,63.0,58.0,4.33,4.37,2.74,590.5312
71,0.59,61.1,57.0,5.4,5.43,3.31,1750.8258
72,1.51,61.2,61.0,7.44,7.33,4.52,9021.242
73,1.57,61.3,59.0,7.44,7.47,4.57,9885.65
74,1.02,62.1,59.0,6.43,6.38,3.98,4518.3853
75,1.04,62.1,56.0,6.54,6.47,4.04,5313.8115
76,0.43,61.4,55.0,4.91,4.86,3.0,1047.6044
77,0.31,60.7,59.0,4.35,4.38,2.65,591.1584
78,0.95,62.9,57.0,6.24,6.19,3.91,3985.6614
79,0.3,62.2,57.0,4.26,4.29,2.66,572.86743
80,0.3,63.8,57.0,4.24,4.26,2.71,561.5301
81,1.22,62.3,58.0,6.79,6.82,4.24,6330.787
82,1.2,63.1,58.0,6.75,6.68,4.24,5939.8496
83,1.2,62.0,59.0,6.78,6.71,4.18,5970.501
84,0.51,62.0,57.0,5.12,5.14,3.18,1308.8004
85,0.86,62.6,58.0,6.01,6.06,3.78,3109.1636
86,0.3,62.2,55.0,4.33,4.29,2.68,600.5299
87,0.35,61.9,54.0,4.55,4.59,2.83,705.9344
88,1.0,62.7,59.0,6.38,6.31,3.98,4235.6357
89,0.55,61.1,55.0,5.3,5.33,3.25,1691.2432
90,0.51,62.7,57.0,5.08,5.1,3.19,1241.6934
91,1.21,62.2,56.0,6.87,6.85,4.26,6815.0723
92,0.41,63.4,55.0,4.72,4.68,2.98,751.125
93,0.31,62.0,54.0,4.38,4.4,2.72,637.46844
94,0.39,61.5,57.0,4.66,4.7,2.88,726.837
95,0.81,64.0,60.0,5.84,5.88,3.75,2394.0159
96,0.7,57.9,63.0,5.8,5.84,3.37,2255.8855
97,0.34,59.4,62.0,4.54,4.59,2.71,640.9798
98,0.42,59.4,59.0,4.86,4.9,2.9,885.8389
99,0.42,61.6,56.0,4.79,4.82,2.96,883.5926
100,0.34,61.9,55.0,4.49,4.52,2.79,674.23157
101,0.5,59.8,56.0,5.23,5.18,3.11,1492.3129
102,0.7,58.8,58.0,5.88,5.78,3.43,2555.1868
103,1.01,63.1,57.0,6.32,6.36,4.0,4492.336
104,0.32,62.0,57.0,4.41,4.39,2.73,619.11475
105,0.3,62.4,54.0,4.31,4.34,2.7,613.48285
106,1.01,64.1,58.0,6.27,6.21,4.0,3937.483
107,0.32,63.8,55.0,4.33,4.39,2.78,618.4916
108,0.87,57.3,59.0,6.29,6.44,3.65,4490.538
109,1.01,62.8,58.0,6.37,6.3,3.98,4356.9536
110,0.72,63.0,57.0,5.69,5.74,3.6,2283.968
111,0.36,62.2,55.0,4.57,4.62,2.86,707.89484
112,1.0,60.0,59.0,6.54,6.46,3.9,4952.703
113,1.01,63.0,60.0,6.33,6.36,4.0,4088.5527
114,0.54,61.7,57.0,5.23,5.26,3.23,1481.4639
115,0.3,61.7,58.0,4.29,4.3,2.65,572.26086
116,1.05,62.8,57.0,6.45,6.49,4.06,5015.5894
117,0.46,61.8,57.0,4.98,4.93,3.06,1052.2974
118,0.5,62.5,54.0,5.09,5.05,3.17,1359.1366
119,1.21,61.3,57.0,6.83,6.85,4.19,6654.5137
120,0.52,61.2,58.0,5.17,5.19,3.17,1349.0795
121,0.31,63.0,57.0,4.32,4.34,2.73,592.1444
122,1.12,59.5,62.0,6.76,6.81,4.04,5714.084
123,0.92,63.1,57.0,6.2,6.17,3.9,3811.3784
124,0.71,60.7,61.0,5.75,5.81,3.51,2226.2053
125,0.51,62.4,58.0,5.11,5.12,3.19,1232.4946
126,1.06,61.0,66.0,6.54,6.35,3.93,3794.5325
127,1.04,62.9,43.0,6.45,6.41,4.04,7056.329
128,1.1,60.4,55.0,6.73,6.77,4.08,6515.49
129,0.57,58.5,61.0,5.4,5.43,3.17,1596.2382
130,1.51,61.7,57.0,7.44,7.4,4.58,9945.057
131,1.68,61.9,56.0,7.63,7.72,4.75,11692.367
132,0.7,61.5,57.0,5.67,5.78,3.52,2331.6328
133,1.55,60.7,59.0,7.5,7.46,4.54,10016.848
134,0.62,62.0,59.0,5.48,5.45,3.39,1723.0968
135,0.92,58.4,58.0,6.4,6.34,3.73,4662.6035
136,1.07,60.0,60.0,6.57,6.59,3.95,5201.992
137,0.87,61.4,55.0,6.15,6.17,3.78,4063.6775
138,1.2,62.1,58.0,6.74,6.78,4.2,6162.4414
139,2.17,62.3,58.0,8.29,8.25,5.15,14198.105
140,1.56,61.3,56.0,7.48,7.44,4.57,10496.93
141,0.31,64.0,59.0,4.28,4.25,2.73,552.3672
142,1.22,61.8,59.0,6.86,6.83,4.23,6353.5635
143,0.71,61.7,55.0,5.73,5.77,3.55,2549.116
144,1.4,62.4,59.0,7.12,7.17,4.46,7939.45
145,0.33,61.6,54.0,4.44,4.49,2.75,667.123
146,0.38,60.7,57.0,4.7,4.73,2.86,737.1132
147,1.02,62.7,56.0,6.39,6.44,4.02,4931.9287
148,0.32,62.5,60.0,4.35,4.29,2.7,567.1538
149,0.79,62.6,55.0,5.91,5.95,3.71,3065.339
150,1.08,61.6,57.0,6.58,6.62,4.07,5599.9336
151,0.33,58.8,62.0,4.49,4.53,2.65,621.57
152,0.32,62.1,55.0,4.36,4.4,2.72,628.0142
153,1.3,62.9,56.0,7.0,6.96,4.39,7500.8257
154,1.17,62.6,59.0,6.78,6.71,4.22,5870.717
155,1.03,60.5,60.0,6.52,6.48,3.93,4822.6523
156,2.09,57.2,64.0,8.51,8.46,4.85,14280.254
157,0.51,62.1,60.0,5.11,5.1,3.17,1130.703
158,1.06,61.9,54.0,6.56,6.59,4.07,5884.911
159,0.43,60.5,59.0,4.91,4.88,2.96,887.0622
160,1.02,61.4,58.0,6.46,6.43,3.96,4848.9346
161,2.23,59.4,59.0,8.6,8.54,5.09,15096.91
162,0.52,61.4,57.0,5.17,5.19,3.18,1392.8019
163,1.17,60.5,57.0,6.79,6.86,4.13,6596.756
164,0.54,61.0,59.0,5.28,5.27,3.22,1443.0515
165,0.73,59.9,57.0,5.92,5.89,3.54,2815.1177
166,0.51,61.7,55.0,5.13,5.17,3.18,1438.3087
167,2.05,62.5,60.0,8.09,8.14,5.07,13414.85
168,0.34,59.6,61.0,4.53,4.5,2.69,632.2403
169,0.3,61.5,56.0,4.34,4.31,2.66,598.74536
170,0.9,59.3,56.0,6.27,6.32,3.73,4584.2964
171,0.56,61.8,55.0,5.31,5.34,3.29,1695.3116
172,0.36,59.8,62.0,4.61,4.56,2.74,650.943
173,1.21,59.5,58.0,6.96,7.03,4.16,7355.644
174,0.56,61.9,56.0,5.32,5.28,3.28,1613.6259
175,2.19,62.6,58.0,8.24,8.33,5.19,14266.475
176,0.41,61.4,60.0,4.75,4.82,2.94,741.8311
177,0.51,60.5,60.0,5.16,5.19,3.13,1253.8844
178,0.41,61.7,55.0,4.81,4.85,2.98,955.0171
179,0.73,60.7,57.0,5.84,5.88,3.55,2649.9478
180,1.01,62.6,58.0,6.37,6.44,4.01,4603.8506
181,0.57,61.5,55.0,5.35,5.37,3.3,1755.6144
182,1.1,62.0,59.0,6.59,6.54,4.07,5196.45
183,0.61,59.9,61.0,5.48,5.6,3.32,1776.1055
184,0.94,62.9,58.6,6.1,6.25,3.89,3613.025
185,0.5,63.8,57.0,4.98,5.02,3.19,1094.6504
186,1.08,63.0,59.0,6.56,6.5,4.11,4963.6436
187,1.22,62.2,58.0,6.84,6.76,4.23,6320.3975
188,0.52,61.1,57.0,5.2,5.18,3.17,1412.0502
189,0.5,58.8,60.0,5.17,5.23,3.06,1315.577
190,1.14,63.3,56.0,6.6,6.68,4.2,5849.088
191,0.81,61.4,55.0,6.03,6.06,3.71,3576.578
192,0.51,62.8,56.0,5.07,5.09,3.19,1275.1348
193,0.32,61.6,55.0,4.43,4.4,2.72,640.59875
194,0.45,61.4,60.0,4.93,4.87,3.01,840.81134
195,0.53,62.3,56.0,5.18,5.15,3.22,1411.3066
196,0.51,63.2,59.0,5.04,5.09,3.2,1102.4163
197,0.55,60.4,56.0,5.36,5.38,3.24,1725.3749
198,1.04,61.7,55.0,6.51,6.53,4.02,5534.8135
199,1.02,61.9,62.0,6.47,6.38,3.98,4167.992
200,1.71,62.4,61.0,7.67,7.59,4.76,10476.705
201,0.5,58.0,63.0,5.22,5.19,3.02,1194.5974
202,0.7,62.7,60.0,5.59,5.64,3.52,1938.5588
203,0.34,61.9,55.0,4.51,4.53,2.8,679.365
204,0.41,61.7,55.0,4.78,4.75,2.94,871.3197
205,0.3,60.2,57.0,4.4,4.37,2.64,612.7881
206,0.7,62.8,57.0,5.71,5.62,3.56,2193.68
207,0.9,60.3,63.0,6.33,6.25,3.79,3479.5435
208,1.52,62.9,60.0,7.31,7.27,4.59,8629.479
209,0.76,62.8,60.0,5.81,5.79,3.64,2289.8606
210,0.6,61.1,56.0,5.47,5.49,3.35,1919.0708
211,0.27,60.2,59.0,4.2,4.24,2.54,535.8831
212,0.86,62.9,55.0,6.04,6.08,3.81,3594.288
213,0.31,62.0,56.0,4.32,4.35,2.69,603.4222
214,1.34,63.2,57.0,6.98,6.95,4.4,7288.333
215,0.72,61.8,55.0,5.75,5.78,3.56,2582.039
216,0.56,62.0,56.0,5.33,5.28,3.29,1619.039
217,1.22,62.3,58.0,6.8,6.85,4.25,6393.966
218,0.54,61.0,58.0,5.23,5.27,3.2,1455.7701
219,0.58,62.8,57.0,5.33,5.28,3.33,1567.1661
220,0.57,57.6,60.0,5.49,5.45,3.15,1763.8578
221,0.5,61.6,57.0,5.11,5.13,3.15,1295.8473
222,1.05,62.4,56.0,6.49,6.52,4.06,5310.7144
223,0.38,62.5,53.8,4.62,4.65,2.89,733.3248
224,0.33,62.0,53.5,4.46,4.5,2.78,675.97473
225,1.52,59.9,57.0,7.45,7.47,4.47,10363.34
226,0.33,61.0,57.0,4.45,4.47,2.72,642.20245
227,0.53,61.9,56.0,5.17,5.2,3.21,1444.0654
228,0.32,63.1,57.0,4.37,4.38,2.76,608.724
229,0.36,61.0,55.0,4.62,4.66,2.83,724.1653
230,1.21,61.9,58.0,6.84,6.79,4.22,6375.0703
231,0.74,61.8,58.0,5.81,5.77,3.58,2406.9463
232,0.55,62.4,59.0,5.2,5.22,3.25,1334.9982
233,0.78,63.1,56.0,5.88,5.82,3.69,2686.5503
234,1.52,61.2,63.0,7.39,7.31,4.5,8480.365
235,1.24,63.0,55.0,6.84,6.81,4.3,6849.2793
236,1.6,62.5,58.0,7.47,7.37,4.64,9872.236
237,0.4,62.4,57.0,4.74,4.72,2.95,744.16754
